Branch,Visit Id,Visit Date Time,Visit Score,Recommend Score,Area,Comments,Visit Summary,Answer,Visit Type,Visit Source,Feedback Category
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,"","This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Na,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,"","This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,All team members looked well presented.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,Friendly service.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",10,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,Fun experience and good food.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",10,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,I asked what red wines were available and was advised accordingly.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Knowledgeable,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,I noticed a lunch deal advertised.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,I received a reply within 30 seconds.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.","",Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,N/A,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",No,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The ambience was enjoyable looking at all areas.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Excellent,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The bill was presented correctly.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
