Branch,Visit Id,Visit Date Time,Visit Score,Recommend Score,Comments,Answer,Visit Summary
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,"During the discussion, the agent made references to the room and layout, which helped inform me of the venue.",Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,"I enquired about a retirement event for my father, and the details of this were confirmed at the start of the call back from the agent.",Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,"I received a call back the following day, roughly 24 hours from my initial website enquiry.",Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,I received a follow-up email about 30 minutes after my call. This included full details of the enquiry that was talked about. Also included were pricing options to suit my needs.,Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,"I received an automated email almost straight away following my web enquiry, but this did not include a date, time or agent's name.",Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,It was clear from the confirmation email that I would receive a call back to discuss my enquiry.,Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,The agent asked me if there were any special requirements for my party.,Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,The agent asked me what budget I had in mind for the party and gave me prices that were within my range.,Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,The agent asked me what budget I had in mind.,Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,The agent confirmed that I would receive an email with all the details discussed.,Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,The agent confirmed what would happen following the phone call. This included a follow-up email and the deposit/gaming fee required.,Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,The agent I spoke to introduced herself (Zoe) warmly and politely. I felt that she listened to my requests and gave me information based on my questions.,Excellent,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,The agent said that I could reply to the email and arrange a call back if I wanted. This was consistent with the tone of the conversation. An exact call back would have seemed too pushy given the nature of the reservation.,Yes,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,"The agent was extremely helpful when dealing with my special request. Not only did she listen and understand my request, she suggested options that might suit my needs without being pushy towards any particular option.",Helpful & flexible,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,"The agent was great at going through all the details of the enquiry, and I would go ahead with a booking.",Definitely would,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,The dates and times that we discussed were checked and all were available to book should I wish.,Na,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,The follow-up email was comprehensive and included all the information that I would need to book this event.,Excellent,""
FC Oxford,20334891,2026-04-14 16:30:00,100.0,,The website was easy to navigate and request a call back.,Yes,""
FC Oxford,20771795,2026-04-13 19:30:00,97.6,9.0,"",5,
FC Oxford,20771795,2026-04-13 19:30:00,97.6,9.0,"",Atmosphere,
FC Oxford,20771795,2026-04-13 19:30:00,97.6,9.0,"",Friend or colleague recommendation,
FC Oxford,20771795,2026-04-13 19:30:00,97.6,9.0,"",I'm not sure what that is,
FC Oxford,20771795,2026-04-13 19:30:00,97.6,9.0,"",No,
FC Oxford,20771795,2026-04-13 19:30:00,97.6,9.0,"",Small group (1-32 guests),
FC Oxford,20771795,2026-04-13 19:30:00,97.6,9.0,"",Yes,
FC Oxford,20771795,2026-04-13 19:30:00,97.6,9.0,Good,9,
FC Oxford,20771795,2026-04-13 19:30:00,97.6,9.0,Jas,"",
FC Oxford,20771795,2026-04-13 19:30:00,97.6,9.0,Physical location,Other,
FC Oxford,20771795,2026-04-13 19:30:00,97.6,9.0,Super friendly,Yes,
FC Oxford,20771796,2026-04-13 19:30:00,100.0,10.0,"",5,
FC Oxford,20771796,2026-04-13 19:30:00,100.0,10.0,"",Friend or colleague recommendation,
FC Oxford,20771796,2026-04-13 19:30:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20771796,2026-04-13 19:30:00,100.0,10.0,"",No,
FC Oxford,20771796,2026-04-13 19:30:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20771796,2026-04-13 19:30:00,100.0,10.0,"",Team friendliness,
FC Oxford,20771796,2026-04-13 19:30:00,100.0,10.0,"",Word of mouth,
FC Oxford,20771796,2026-04-13 19:30:00,100.0,10.0,"",Yes,
FC Oxford,20771796,2026-04-13 19:30:00,100.0,10.0,amazing,10,
FC Oxford,20771796,2026-04-13 19:30:00,100.0,10.0,Jas,"",
