Branch,Visit Id,Visit Date Time,Visit Score,Recommend Score,Comments
FC Oxford,20871386,2026-04-20 12:00:00,100.0,10.0,""
FC Oxford,20871386,2026-04-20 12:00:00,100.0,10.0,"Popped in for a last minute spicy margarita on a day off, came to find my usual drink was unavailable however spoke to the wonderful Skye behind the bar and she suggested the passionfruit picante, with a little less passion fruit to avoid it being too sweet for my taste! 3 cocktails down and it looks like my day is going to be a little less productive than I thought, however, a stunning drink and fantastic service! Thanks Skye!"
FC Oxford,20871386,2026-04-20 12:00:00,100.0,10.0,Recommended a drink and adapted the recipe to my taste
FC Oxford,20871386,2026-04-20 12:00:00,100.0,10.0,Skye
FC Oxford,20871387,2026-04-20 12:00:00,100.0,10.0,""
FC Oxford,20871387,2026-04-20 12:00:00,100.0,10.0,Great drinks and staff couldn't do enough especially skye
FC Oxford,20871387,2026-04-20 12:00:00,100.0,10.0,No was great but bring back the cactus flowers drink
FC Oxford,20871387,2026-04-20 12:00:00,100.0,10.0,Recommended a drink with a slight twist to adjust to wife's taste and offered to bring it to us so we didn't have to wait
FC Oxford,20871387,2026-04-20 12:00:00,100.0,10.0,Skye
FC Oxford,20871387,2026-04-20 12:00:00,100.0,10.0,Walked past
FC Oxford,20872533,2026-04-20 14:59:00,100.0,,We had such a fun time at Flight Club - great range of games and we loved being able to watch the action replays / take group pictures throughout. Our server was incredibly attentive and made sure we had everything we needed throughout the experience. Highly recommend!
FC Oxford,20872730,2026-04-20 16:00:00,100.0,10.0,""
FC Oxford,20872730,2026-04-20 16:00:00,100.0,10.0,Close to where we were
FC Oxford,20872730,2026-04-20 16:00:00,100.0,10.0,Friendly and helpful
FC Oxford,20872730,2026-04-20 16:00:00,100.0,10.0,Great
FC Oxford,20872730,2026-04-20 16:00:00,100.0,10.0,In the shopping centre we were in
FC Oxford,20872730,2026-04-20 16:00:00,100.0,10.0,Phil
FC Oxford,20874422,2026-04-20 20:00:00,93.5,10.0,""
FC Oxford,20874422,2026-04-20 20:00:00,93.5,10.0,Great time as always!
FC Oxford,20874422,2026-04-20 20:00:00,93.5,10.0,"Millie and Phil at the bar gave an amazing service! Millie had extra patience and super nicely adapted a drink to my taste (removed the chili I can’t handle :))!Phil made my dream come true of getting a Margarita in a Tanquard! Mia and Wilson were super attentive in the steps of service, smiling and attentive. Wilson checked in regularly which was much appreciated! And Mia was extra jovial when serving us which was much appreciated by everyone!Henry gave the best oche intro I ever had with a touch of humor that was great! He actually lightened the mood in a group that was not comfortable with each other which was amazing and much appreciated!Ella was lovely! Both in welcoming us, and helping behind the bar! Zoë made the whole booking process so much easier when at first it was a big confusing, she clarified it nicely!"
FC Oxford,20874422,2026-04-20 20:00:00,93.5,10.0,"Millie, Phil, Ella, Henry, Wilson, Mia and Zoe"
FC Oxford,20874703,2026-04-20 21:44:00,100.0,,Millie made me an amazing drink 10/10
FC Oxford,20884492,2026-04-21 19:30:00,100.0,10.0,""
FC Oxford,20884492,2026-04-21 19:30:00,100.0,10.0,Highly recommend
FC Oxford,20884492,2026-04-21 19:30:00,100.0,10.0,No
FC Oxford,20885483,2026-04-21 19:30:00,95.1,10.0,""
FC Oxford,20885483,2026-04-21 19:30:00,95.1,10.0,Great night
FC Oxford,20885483,2026-04-21 19:30:00,95.1,10.0,Jas
FC Oxford,20885483,2026-04-21 19:30:00,95.1,10.0,"Jas was absolutely brilliant all night, took care of all of our needs"
FC Oxford,20886003,2026-04-21 21:06:00,100.0,,MILLIE WAS AMAZING!!
FC Oxford,20886004,2026-04-21 21:05:00,80.0,,Millie was amazing at the bar
