Branch,Visit Id,Visit Date Time,Visit Score,Recommend Score,Comments,Visit Summary
FC Birmingham,20816265,2026-05-03 17:45:00,69.4,9.0,"All interactions were warm and friendly, with smiles, eye contact and natural conversations.","We really enjoyed the visit, with all team members finding the games easy to use and a fun activity. 
The drinks were great, all arriving quickly, and were cold and tasty.
The food was good, although two of the twelve items ordered did not arrive until chased, and came when the rest of the food was already eaten which was disappointing.
The service was friendly, but we didn't feel we were shown all of the functions, and we didn't receive a check back, nor were any of the empty glasses or plates cleared away.
The booking process was easy, although it didn't give the pre-order options like I was expecting to see."
FC Birmingham,20816265,2026-05-03 17:45:00,69.4,9.0,All team members were smart and well presented.,"We really enjoyed the visit, with all team members finding the games easy to use and a fun activity. 
The drinks were great, all arriving quickly, and were cold and tasty.
The food was good, although two of the twelve items ordered did not arrive until chased, and came when the rest of the food was already eaten which was disappointing.
The service was friendly, but we didn't feel we were shown all of the functions, and we didn't receive a check back, nor were any of the empty glasses or plates cleared away.
The booking process was easy, although it didn't give the pre-order options like I was expecting to see."
FC Birmingham,20816265,2026-05-03 17:45:00,69.4,9.0,All the staff seemed to be aware of their roles and made the evening flow well.,"We really enjoyed the visit, with all team members finding the games easy to use and a fun activity. 
The drinks were great, all arriving quickly, and were cold and tasty.
The food was good, although two of the twelve items ordered did not arrive until chased, and came when the rest of the food was already eaten which was disappointing.
The service was friendly, but we didn't feel we were shown all of the functions, and we didn't receive a check back, nor were any of the empty glasses or plates cleared away.
The booking process was easy, although it didn't give the pre-order options like I was expecting to see."
FC Birmingham,20816265,2026-05-03 17:45:00,69.4,9.0,All the team were friendly and helpful and actively working throughout the visit. At no point did anyone seem unhappy to be working.,"We really enjoyed the visit, with all team members finding the games easy to use and a fun activity. 
The drinks were great, all arriving quickly, and were cold and tasty.
The food was good, although two of the twelve items ordered did not arrive until chased, and came when the rest of the food was already eaten which was disappointing.
The service was friendly, but we didn't feel we were shown all of the functions, and we didn't receive a check back, nor were any of the empty glasses or plates cleared away.
The booking process was easy, although it didn't give the pre-order options like I was expecting to see."
FC Birmingham,20816265,2026-05-03 17:45:00,69.4,9.0,"Both the ladies' and men's toilets were visited. Both were clean, tidy and fully stocked, and smelt fresh.","We really enjoyed the visit, with all team members finding the games easy to use and a fun activity. 
The drinks were great, all arriving quickly, and were cold and tasty.
The food was good, although two of the twelve items ordered did not arrive until chased, and came when the rest of the food was already eaten which was disappointing.
The service was friendly, but we didn't feel we were shown all of the functions, and we didn't receive a check back, nor were any of the empty glasses or plates cleared away.
The booking process was easy, although it didn't give the pre-order options like I was expecting to see."
FC Birmingham,20816265,2026-05-03 17:45:00,69.4,9.0,"Dishes were delivered in 3 waves, and it was stated by the team member when the first wave was served that all items were fish-free and were ok allergy wise.","We really enjoyed the visit, with all team members finding the games easy to use and a fun activity. 
The drinks were great, all arriving quickly, and were cold and tasty.
The food was good, although two of the twelve items ordered did not arrive until chased, and came when the rest of the food was already eaten which was disappointing.
The service was friendly, but we didn't feel we were shown all of the functions, and we didn't receive a check back, nor were any of the empty glasses or plates cleared away.
The booking process was easy, although it didn't give the pre-order options like I was expecting to see."
FC Birmingham,20816265,2026-05-03 17:45:00,69.4,9.0,"Drinks arrived after 6 minutes. Food was served in 3 waves. The first dishes were served after 13 minutes, the second after 16 minutes, and finally the fries and waffle fries arrived after 29 minutes, after we'd chased these, as they had been forgotten about.","We really enjoyed the visit, with all team members finding the games easy to use and a fun activity. 
The drinks were great, all arriving quickly, and were cold and tasty.
The food was good, although two of the twelve items ordered did not arrive until chased, and came when the rest of the food was already eaten which was disappointing.
The service was friendly, but we didn't feel we were shown all of the functions, and we didn't receive a check back, nor were any of the empty glasses or plates cleared away.
The booking process was easy, although it didn't give the pre-order options like I was expecting to see."
FC Birmingham,20816265,2026-05-03 17:45:00,69.4,9.0,"I asked how many dishes she recommended for a party of 6 and was told that 2 or 3 each would be great, that the sliders were 2 small burgers and the chicken sticks were 2 6"" sticks. She said the small plates were really popular.","We really enjoyed the visit, with all team members finding the games easy to use and a fun activity. 
The drinks were great, all arriving quickly, and were cold and tasty.
The food was good, although two of the twelve items ordered did not arrive until chased, and came when the rest of the food was already eaten which was disappointing.
The service was friendly, but we didn't feel we were shown all of the functions, and we didn't receive a check back, nor were any of the empty glasses or plates cleared away.
The booking process was easy, although it didn't give the pre-order options like I was expecting to see."
FC Birmingham,20816265,2026-05-03 17:45:00,69.4,9.0,"I asked how to pay tab, once the staff member approached us to clear the oche, and I was told to pay at the bar.Once I'd paid at the bar I was thanked and offered a receipt once payment was complete.","We really enjoyed the visit, with all team members finding the games easy to use and a fun activity. 
The drinks were great, all arriving quickly, and were cold and tasty.
The food was good, although two of the twelve items ordered did not arrive until chased, and came when the rest of the food was already eaten which was disappointing.
The service was friendly, but we didn't feel we were shown all of the functions, and we didn't receive a check back, nor were any of the empty glasses or plates cleared away.
The booking process was easy, although it didn't give the pre-order options like I was expecting to see."
FC Birmingham,20816265,2026-05-03 17:45:00,69.4,9.0,I received an instant reply.,"We really enjoyed the visit, with all team members finding the games easy to use and a fun activity. 
The drinks were great, all arriving quickly, and were cold and tasty.
The food was good, although two of the twelve items ordered did not arrive until chased, and came when the rest of the food was already eaten which was disappointing.
The service was friendly, but we didn't feel we were shown all of the functions, and we didn't receive a check back, nor were any of the empty glasses or plates cleared away.
The booking process was easy, although it didn't give the pre-order options like I was expecting to see."
